N,L,num_samples,height,num_trees,time
1000,1000000.0,1000,14323.186664666788,303,0.015104966000000108
1000,1000000.0,1000,17232.083697891292,298,0.019030664999999947
1000,1000000.0,1000,10187.890468978505,331,0.016753962999999983
1000,1000000.0,100000,8143.170730084298,466,1.3697169180000002
1000,1000000.0,100000,6521.668075015733,486,1.3236243380000001
1000,1000000.0,100000,10117.898789055496,491,1.3349922390000004
5000,1000000.0,1000,91989.55692796547,1488,0.028919318999999888
5000,1000000.0,1000,65792.21042974747,1558,0.02869479900000016
5000,1000000.0,1000,73602.01550309383,1518,0.029065083999999963
5000,1000000.0,100000,91786.66309439318,2350,1.590791931
5000,1000000.0,100000,73399.71395814625,2398,1.6996060120000003
5000,1000000.0,100000,68891.52132634915,2398,1.5903729169999998
1000,5000000.0,1000,13187.56517542333,1503,0.02405772700000064
1000,5000000.0,1000,14453.046569075526,1496,0.022445946999999578
1000,5000000.0,1000,22241.84358296036,1601,0.02397283799999883
1000,5000000.0,100000,16878.133808077215,2334,1.5187896429999999
1000,5000000.0,100000,18785.90981900169,2440,1.5676088629999985
1000,5000000.0,100000,13201.6635786175,2466,1.5990928960000002
10000,1000000.0,1000,131283.59367002596,2883,0.041050305999998926
10000,1000000.0,1000,263302.243024983,2926,0.03633786199999989
10000,1000000.0,1000,130594.88184313118,2833,0.03407634999999942
10000,1000000.0,100000,152594.40794418342,4761,1.9175773879999998
10000,1000000.0,100000,239560.0748644293,4874,1.9985872580000006
10000,1000000.0,100000,253127.6547339685,4922,2.067887528
1000,10000000.0,1000,15546.061009973237,3116,0.041625770999999645
1000,10000000.0,1000,21613.735405893734,2929,0.03606851400000011
1000,10000000.0,1000,23839.018391083464,2921,0.03673164699999987
1000,10000000.0,100000,23465.532807295574,4838,2.042107158999997
1000,10000000.0,100000,20479.44018108218,4890,2.1026447349999984
1000,10000000.0,100000,16192.95269954165,4840,1.9453983370000003
5000,5000000.0,1000,119898.26257492942,7444,0.09554690399999899
5000,5000000.0,1000,105318.39617799387,7174,0.08812404800000095
5000,5000000.0,1000,72368.13263218799,7428,0.09215491900000217
5000,5000000.0,100000,96647.34455646141,12026,3.1777878500000014
5000,5000000.0,100000,111430.14491820923,11892,3.2532784120000002
5000,5000000.0,100000,115997.75625406264,12426,2.9548679950000007
50000,1000000.0,1000,1203184.1923943462,15029,0.2488746180000021
50000,1000000.0,1000,879948.2199704746,15214,0.23177357899999862
50000,1000000.0,1000,1078986.6002865443,14962,0.23805947299999985
50000,1000000.0,100000,1160307.5066296319,23665,5.0905886289999955
50000,1000000.0,100000,1106484.8640842284,24096,5.066040418
50000,1000000.0,100000,1216295.1828085985,23759,4.721683514999995
10000,5000000.0,1000,193366.3974505054,14645,0.22584218600000128
10000,5000000.0,1000,202931.72295698014,15022,0.2319306760000046
10000,5000000.0,1000,251719.58547532134,15061,0.23076542900000163
10000,5000000.0,100000,202095.14022742532,23825,5.064782452999999
10000,5000000.0,100000,221542.0882177391,23941,5.854092268000002
10000,5000000.0,100000,215568.53138266352,24296,5.373941911000003
5000,10000000.0,1000,103300.29203764789,14684,0.23595430299999975
5000,10000000.0,1000,119231.61728933644,15417,0.24849620000000527
5000,10000000.0,1000,139296.88618574338,14807,0.2363344199999915
5000,10000000.0,100000,128956.04300575895,24522,5.7812208560000045
5000,10000000.0,100000,107592.55589598129,24274,5.223615290999987
5000,10000000.0,100000,103273.44181191648,24634,5.141210131000008
1000,50000000.0,1000,18990.379838250596,15378,0.23929879899999662
1000,50000000.0,1000,20695.57897449725,15532,0.24600120900001343
1000,50000000.0,1000,20355.73811593115,14658,0.2329480799999999
1000,50000000.0,100000,23844.46496859388,24438,4.738718183000003
1000,50000000.0,100000,23693.115587443495,24364,4.8203116580000085
1000,50000000.0,100000,23509.454172308222,23804,5.303058718999992
100000,1000000.0,1000,2381295.6426562318,29541,0.6859076860000073
100000,1000000.0,1000,2534685.1489150864,29361,0.6688198660000069
100000,1000000.0,1000,2312196.0179863707,29421,0.6956000310000121
100000,1000000.0,100000,2213225.789153327,47231,9.853496102000008
100000,1000000.0,100000,1987483.1453079134,48130,8.721759498000011
