,L,tool,user_time,sys_time,memory
0,1,hybrid,0.046251,0.016818,113963008
1,1,hybrid,0.0465,0.016909,113958912
2,1,hybrid,0.056249999999999994,0.008035,113926144
3,1,hybrid,0.048207,0.016069,113979392
4,1,hybrid,0.05688,0.012188,113950720
5,6,hybrid,0.205511,0.004029,118374400
6,6,hybrid,0.210145,0.0,118292480
7,6,hybrid,0.206284,0.008088999999999999,118222848
8,6,hybrid,0.21656599999999998,0.0,118743040
9,6,hybrid,0.20820999999999998,0.012012,118517760
10,1,msprime,4.276477,0.008,112680960
11,1,msprime,4.229142,0.008022999999999999,112828416
12,1,msprime,4.4456,0.008002,112939008
13,1,msprime,5.070255,0.016007,112693248
14,1,msprime,5.100876,0.008001,112959488
15,6,msprime,7.759698,0.011999,117321728
16,6,msprime,7.835773,0.019999,117137408
17,6,msprime,8.088652,0.020000999999999998,117018624
18,11,hybrid,0.460036,0.016000999999999998,123260928
19,11,hybrid,0.453138,0.012029999999999999,123191296
20,6,msprime,8.470322,0.012003,116912128
21,6,msprime,8.489544,0.016002,116981760
22,11,hybrid,0.45777199999999996,0.0,122978304
23,11,hybrid,0.429716,0.012048,122716160
24,11,hybrid,0.464429,0.004003,123002880
25,11,msprime,9.472657,0.008,121643008
26,11,msprime,9.69885,0.015998,121143296
27,11,msprime,10.529974,0.007998,120832000
28,11,msprime,10.544484,0.032001,121122816
29,11,msprime,10.603776,0.012003999999999999,121118720
30,1,ARGON,6.188697,0.283301,966971392
31,1,ARGON,5.2659,0.298338,936128512
32,1,ARGON,6.413667,0.28506,973025280
33,1,ARGON,6.4045760000000005,0.27971399999999996,984895488
34,1,ARGON,8.133703,0.338856,1071017984
35,16,hybrid,0.856001,0.016,127504384
36,16,hybrid,0.8100769999999999,0.007941,127041536
37,16,hybrid,0.808002,0.016,127410176
38,16,hybrid,0.893988,0.016035,127770624
39,16,hybrid,0.827963,0.015999,127500288
40,6,ARGON,12.649746,0.47097199999999995,1828257792
41,6,ARGON,13.250132,0.528993,1311821824
42,6,ARGON,13.967724,0.47552599999999995,1422336000
43,6,ARGON,14.419602999999999,0.40128299999999995,1366462464
44,6,ARGON,13.561865,0.50398,1221054464
45,11,ARGON,16.994973,0.675426,1770995712
46,16,msprime,11.548229,0.031911999999999996,125108224
47,11,ARGON,17.057339,0.653913,1896620032
48,11,ARGON,17.027965,0.885295,3137638400
49,11,ARGON,16.958113,0.91779,3136585728
50,11,ARGON,17.393329,0.867906,3085758464
51,16,msprime,12.776853,0.00798,125362176
52,21,hybrid,1.292127,0.020000999999999998,134164480
53,21,hybrid,1.16594,0.016026,133742592
54,21,hybrid,1.195972,0.019999,134258688
55,21,hybrid,1.241773,0.016021999999999998,135184384
56,21,hybrid,1.221874,0.008012,134393856
57,16,msprime,12.260051,0.015962999999999998,124870656
58,16,msprime,13.322525,0.031966999999999995,125153280
59,16,msprime,13.362764,0.015974,125628416
60,16,ARGON,21.604702,0.859023,2784362496
61,16,ARGON,22.241156,0.793292,2583969792
62,16,ARGON,22.026363,0.9253879999999999,3404742656
63,16,ARGON,24.516607,0.867879,3363389440
64,16,ARGON,22.240279,0.957917,3168124928
65,27,hybrid,1.9370829999999999,0.016007999999999998,139968512
66,27,hybrid,1.7951709999999999,0.028048999999999998,138883072
67,21,msprime,13.932076,0.023972,129683456
68,27,hybrid,1.839893,0.019998,139063296
69,21,msprime,13.917851,0.024003,129888256
70,27,hybrid,1.8068,0.028043,140414976
71,27,hybrid,1.8042859999999998,0.027941999999999998,139702272
72,21,msprime,14.053976,0.008005,129085440
73,21,msprime,14.815053,0.011994999999999999,129224704
74,21,msprime,15.411962,0.027992,129900544
75,27,msprime,17.13079,0.015998,135798784
76,27,msprime,17.645017,0.015997,135176192
77,27,msprime,16.743687,0.035982,133943296
78,21,ARGON,27.268435,1.157519,3192160256
79,21,ARGON,26.526165,0.9194519999999999,3769761792
80,21,ARGON,27.298963,1.0445909999999998,3117998080
81,27,msprime,17.013838,0.023985,134725632
82,21,ARGON,26.845003,1.3588689999999999,4930367488
83,21,ARGON,28.714987,0.8778739999999999,3556401152
84,32,hybrid,2.533824,0.012008,142491648
85,27,msprime,18.156125,0.031986,136519680
86,32,hybrid,2.442134,0.020017,143507456
87,32,hybrid,2.456711,0.031957,143323136
88,32,hybrid,2.586302,0.023984,143237120
89,32,hybrid,2.498222,0.023906,142512128
90,32,msprime,19.526207,0.035981,139186176
91,32,msprime,20.027853,0.04797,138919936
92,32,msprime,19.865537,0.031989,138522624
93,32,msprime,20.520528,0.040015999999999996,138362880
94,32,msprime,19.426728,0.047937,138686464
95,37,hybrid,3.149291,0.035969,144834560
96,37,hybrid,3.2109550000000002,0.019993,146821120
97,37,hybrid,3.203679,0.04394,145747968
98,37,hybrid,3.083089,0.03199,145489920
99,27,ARGON,33.63841,1.348578,6037504000
100,37,hybrid,3.172241,0.016000999999999998,145281024
101,27,ARGON,35.297064,1.6481240000000001,7125696512
102,27,ARGON,36.468728,1.5975259999999998,5805096960
103,27,ARGON,36.458946000000005,3.103096,6562594816
104,27,ARGON,36.219875,3.030731,6940835840
105,37,msprime,21.292102,0.036,140873728
106,37,msprime,21.96072,0.051962999999999995,141328384
107,37,msprime,22.410501,0.023985,141221888
108,37,msprime,22.076733,0.023969999999999998,141332480
109,37,msprime,22.656773,0.051927999999999995,141897728
110,42,hybrid,3.660436,0.020002,148402176
111,42,hybrid,3.664125,0.015978,148733952
112,42,hybrid,3.682836,0.039986999999999995,148381696
113,42,hybrid,3.636608,0.016002,147943424
114,42,hybrid,3.8050189999999997,0.04001,149794816
115,32,ARGON,42.547061,1.4463949999999999,5556383744
116,32,ARGON,45.663754,2.132561,3756904448
117,32,ARGON,44.07992,1.700307,6445584384
118,32,ARGON,42.267680000000006,3.4120160000000004,7122972672
119,32,ARGON,43.317127,3.6631560000000003,6045200384
120,42,msprime,24.438422,0.032003,145780736
121,42,msprime,26.172532,0.032015,145006592
122,42,msprime,24.379552,0.035921999999999996,145465344
123,42,msprime,24.22524,0.039969,144592896
124,42,msprime,24.61683,0.03199,143396864
125,47,hybrid,4.4829,0.05194,151126016
126,47,hybrid,4.77973,0.039997,153387008
127,47,hybrid,4.718634,0.032017,151629824
128,47,hybrid,4.546043,0.043941999999999995,154025984
129,47,hybrid,4.670253,0.031987999999999996,152453120
130,37,ARGON,49.231244,1.458429,6097195008
131,37,ARGON,50.439514,1.414374,4447252480
132,37,ARGON,51.95274199999999,1.450057,5021921280
133,37,ARGON,51.444829999999996,1.1904599999999999,4651053056
134,37,ARGON,51.192145,1.455847,5328846848
135,47,msprime,28.577901,0.039969,148369408
136,47,msprime,26.353996,0.031983,148443136
137,47,msprime,26.508818,0.027996,148082688
138,47,msprime,27.543771,0.075977,147648512
139,47,msprime,29.042254,0.059996,148160512
140,53,hybrid,5.73227,0.047968,156606464
141,53,hybrid,5.705982,0.051981,157970432
142,53,hybrid,5.814797,0.04799,158568448
143,53,hybrid,6.142831,0.05991,157339648
144,53,hybrid,6.115416,0.047964,156549120
145,42,ARGON,57.051442,2.62765,7464972288
146,42,ARGON,60.92989,2.212919,4960104448
147,42,ARGON,60.11198,1.932783,7065620480
148,42,ARGON,59.207437,1.268626,4470538240
149,42,ARGON,64.363622,3.067194,5837742080
150,53,msprime,28.960674,0.059951,152166400
151,53,msprime,31.010637,0.047972999999999995,151638016
152,53,msprime,30.76734,0.063973,151752704
153,53,msprime,30.264869,0.047994999999999996,150806528
154,53,msprime,30.40658,0.024005,154165248
155,58,hybrid,7.382747,0.064023,163454976
156,58,hybrid,6.667791,0.059926,162287616
157,58,hybrid,6.615434,0.031997,163000320
158,58,hybrid,6.934425,0.043963999999999996,163102720
159,58,hybrid,7.025258,0.023989999999999997,164159488
160,47,ARGON,70.389702,1.9930970000000001,5965279232
161,47,ARGON,65.76522,2.220769,9635328000
162,47,ARGON,67.618229,3.247817,5312651264
163,58,msprime,31.804212,0.04797,155795456
164,58,msprime,30.60245,0.055937999999999995,155795456
165,47,ARGON,71.900934,3.6821349999999997,4942741504
166,58,msprime,32.163475,0.040004,155316224
167,47,ARGON,73.187146,4.4054139999999995,7094501376
168,58,msprime,34.051952,0.051993,155467776
169,58,msprime,33.061249,0.035983,159064064
170,63,hybrid,8.438592,0.052015,170807296
171,63,hybrid,7.506526,0.036011999999999995,169209856
172,63,hybrid,7.85289,0.040004,171032576
173,63,hybrid,8.231536,0.052022,166387712
174,63,hybrid,8.13023,0.060045999999999995,166727680
175,53,ARGON,79.120059,2.618429,9763246080
176,53,ARGON,79.835282,2.134907,6167760896
177,53,ARGON,81.054368,1.907624,6194343936
178,63,msprime,33.852641,0.039980999999999996,159354880
179,63,msprime,33.601545,0.055942,159186944
180,53,ARGON,81.262305,1.7931019999999998,6052110336
181,63,msprime,33.730823,0.07597899999999999,158830592
182,53,ARGON,79.006055,2.363683,9314643968
183,63,msprime,33.8311,0.07995,158666752
184,63,msprime,37.006441,0.05198,159920128
185,68,hybrid,9.298216,0.048011,171728896
186,68,hybrid,9.725839,0.08405,169160704
187,68,hybrid,9.946358,0.064015,170205184
188,68,hybrid,9.752112,0.043982,169312256
189,68,hybrid,9.946783,0.039979,169398272
190,58,ARGON,90.161321,2.082941,7861022720
191,58,ARGON,90.034275,2.3631919999999997,8644911104
192,68,msprime,36.315515,0.043975,162410496
193,68,msprime,36.355013,0.027965,161239040
194,68,msprime,38.049597,0.039984,161542144
195,68,msprime,37.932525,0.063946,161484800
196,58,ARGON,98.863384,3.223782,5205807104
197,68,msprime,41.335972,0.027993999999999998,161165312
198,58,ARGON,97.990601,6.240956000000001,9079218176
199,58,ARGON,96.944688,5.884379,8334053376
200,73,hybrid,10.74049,0.060002,174784512
201,73,hybrid,11.109153,0.051948999999999995,175022080
202,73,hybrid,10.647039,0.059994,173445120
203,73,hybrid,10.624242,0.04,173457408
204,73,hybrid,10.880857,0.052023,174858240
205,63,ARGON,99.817522,2.073768,7708942336
206,73,msprime,37.436187,0.05597,164724736
207,63,ARGON,101.811534,2.4230150000000004,9290678272
208,73,msprime,38.168606,0.079967,163528704
209,73,msprime,40.338881,0.067971,164675584
210,73,msprime,41.347274,0.055944,164917248
211,73,msprime,39.892362,0.111944,164818944
212,63,ARGON,120.969247,5.140261,7182692352
213,79,hybrid,13.411527,0.079925,177582080
214,79,hybrid,13.746867,0.067935,179191808
215,63,ARGON,124.260144,6.558621,7337545728
216,63,ARGON,121.945276,8.268321,6697226240
217,79,hybrid,12.709434,0.04799,179392512
218,79,hybrid,12.867812,0.091912,179404800
219,79,hybrid,12.719268,0.083758,180584448
220,68,ARGON,109.16112199999999,1.932173,7214632960
221,68,ARGON,114.330971,2.577422,7174860800
222,79,msprime,42.639452,0.071931,169668608
223,68,ARGON,117.017262,2.733496,9444904960
224,79,msprime,43.419757,0.031979,169213952
225,79,msprime,43.988496,0.04797,169164800
226,79,msprime,45.553194,0.04795,168878080
227,79,msprime,44.506702,0.056003,168865792
228,68,ARGON,119.952828,2.694002,5051928576
229,68,ARGON,126.441562,3.029059,6258360320
230,84,hybrid,14.303278,0.027998,182894592
231,84,hybrid,13.784068,0.06799999999999999,182071296
232,84,hybrid,15.067028,0.047984,180969472
233,84,hybrid,14.844224,0.059935999999999996,181907456
234,84,hybrid,15.061242,0.06002,182136832
235,84,msprime,45.079671,0.071935,172068864
236,84,msprime,46.058196,0.055954,172195840
237,84,msprime,46.253208,0.039966,172425216
238,84,msprime,48.215668,0.111897,172322816
239,84,msprime,45.822499,0.075984,171810816
240,73,ARGON,151.102507,3.884521,4899655680
241,73,ARGON,158.853845,8.824566,8934010880
242,89,msprime,49.059206,0.055958,176218112
243,73,ARGON,165.797017,7.866020000000001,9621794816
244,89,msprime,47.676829,0.07593699999999999,175988736
245,73,ARGON,163.111717,10.485441999999999,10375749632
246,89,hybrid,16.282724,0.087906,186875904
247,89,msprime,50.981868,0.048000999999999995,175235072
248,89,msprime,49.283025,0.063946,176177152
249,73,ARGON,168.879189,11.25751,9453674496
250,89,msprime,51.345542,0.083956,176336896
251,89,hybrid,16.962822,0.087931,183652352
252,89,hybrid,16.353905,0.067924,185221120
253,89,hybrid,16.390435,0.055993999999999995,185864192
254,89,hybrid,15.417356,0.059958,185307136
255,79,ARGON,136.528094,2.540054,9078026240
256,79,ARGON,144.751392,2.667658,6150590464
257,94,hybrid,19.754497,0.09587599999999999,189149184
258,94,hybrid,18.499838,0.079982,190287872
259,94,hybrid,17.686303,0.075906,187711488
260,94,hybrid,17.083026,0.087974,188776448
261,94,msprime,51.528101,0.09193499999999999,179486720
262,84,ARGON,154.473968,2.772757,10123415552
263,79,ARGON,186.625566,9.680279,7056568320
264,84,ARGON,153.527801,2.30725,7185571840
265,94,msprime,58.58747,0.11988399999999999,179871744
266,94,msprime,51.556028,0.107857,179523584
267,94,msprime,55.000539,0.13183799999999998,178851840
268,94,msprime,51.114618,0.079954,179404800
269,84,ARGON,152.18151,1.909713,5702012928
270,84,ARGON,157.348159,2.5725209999999996,9054859264
271,79,ARGON,187.441939,12.642415000000002,8569094144
272,94,hybrid,18.940428,0.099896,190394368
273,79,ARGON,198.269608,12.699169000000001,7755223040
274,84,ARGON,178.855736,4.2830379999999995,6007222272
275,100,hybrid,20.346465,0.09582299999999999,194965504
276,100,hybrid,22.353146,0.104005,195379200
277,100,hybrid,21.709059,0.095916,192323584
278,100,hybrid,21.997291,0.11985399999999999,193863680
279,100,hybrid,21.626831,0.10399399999999999,194785280
280,100,msprime,54.988965,0.087924,184258560
281,100,msprime,55.360058,0.107898,184274944
282,100,msprime,56.850966,0.091927,183775232
283,100,msprime,61.998805,0.071966,184647680
284,100,msprime,61.749521,0.059969999999999996,183934976
285,89,ARGON,163.598926,2.7341860000000002,10088615936
286,89,ARGON,167.953447,2.4740279999999997,9531592704
287,89,ARGON,214.69582400000002,12.106021,10225778688
288,89,ARGON,215.520937,11.783344,10723799040
289,89,ARGON,219.257301,9.4258,7694340096
290,94,ARGON,173.621152,2.683417,8776265728
291,94,ARGON,184.873974,2.50487,8615342080
292,100,ARGON,186.795967,2.969873,9699037184
293,94,ARGON,220.634913,7.396645,7808978944
294,100,ARGON,192.28358,2.107927,6389555200
295,94,ARGON,225.039225,14.009831,7148171264
296,100,ARGON,200.965511,3.023071,8923246592
297,94,ARGON,236.015465,13.424851,8508657664
298,100,ARGON,209.713149,4.950421,7912255488
299,100,ARGON,202.575058,4.0612520000000005,7709134848
