,sample_size,tool,user_time,sys_time,memory
0,10,msprime,450.774316,0.37981899999999996,502411264
1,10,msprime,494.298255,0.34796499999999997,514756608
2,10,msprime,492.322069,0.48407999999999995,497754112
3,10,msprime,505.908046,0.363857,496373760
4,10,msprime,508.18083,0.367844,460038144
5,35,msprime,540.589576,0.43189,617226240
6,35,msprime,552.836891,0.615902,690565120
7,61,msprime,558.684139,0.6243179999999999,822042624
8,10,fastSimBac,592.323064,0.048219,201740288
9,10,fastSimBac,590.779987,0.067195,201793536
10,61,msprime,594.471822,0.575956,861540352
11,35,msprime,608.895153,0.623892,755851264
12,10,fastSimBac,597.220123,0.058665999999999996,201748480
13,35,msprime,597.738695,0.7918649999999999,715309056
14,35,msprime,613.37065,0.543953,669433856
15,61,msprime,611.613217,0.699894,734932992
16,10,fastSimBac,622.432743,0.073555,201814016
17,61,msprime,602.870803,0.6159209999999999,887459840
18,61,msprime,633.950922,0.603862,907395072
19,10,fastSimBac,614.4937090000001,0.055699,201785344
20,87,msprime,566.687376,0.64374,796954624
21,87,msprime,630.314844,1.389702,820944896
22,87,msprime,647.603427,1.019444,848277504
23,87,msprime,640.805719,0.7076479999999999,803180544
24,87,msprime,614.563032,0.655751,795516928
25,113,msprime,594.108927,0.8276779999999999,794132480
26,113,msprime,602.567196,0.955484,918351872
27,113,msprime,616.307973,0.96358,803151872
28,113,msprime,649.797498,0.863752,840839168
29,113,msprime,680.413705,0.803619,856080384
30,35,fastSimBac,1538.510057,0.155508,201814016
31,35,fastSimBac,1641.088649,0.093348,201854976
32,138,msprime,537.448179,0.863833,786669568
33,35,fastSimBac,1704.845141,0.172372,201834496
34,35,fastSimBac,1709.362783,0.055779,201842688
35,35,fastSimBac,1763.048474,0.048587,201625600
36,138,msprime,606.351459,1.035794,810958848
37,138,msprime,641.551375,1.027813,832946176
38,138,msprime,702.789513,1.2305869999999999,848424960
39,138,msprime,655.532506,0.971769,883011584
40,61,fastSimBac,2057.271435,0.158172,201674752
41,61,fastSimBac,2173.124249,0.064665,201867264
42,61,fastSimBac,2162.945914,0.08020999999999999,201895936
43,61,fastSimBac,2191.452979,0.089111,201887744
44,61,fastSimBac,1791.221623,0.048624999999999995,201777152
45,164,msprime,594.765447,1.079793,850014208
46,164,msprime,619.61978,0.955722,913084416
47,164,msprime,621.031643,1.267827,1007931392
48,164,msprime,675.562312,1.071762,922664960
49,164,msprime,671.98642,0.951884,870068224
50,190,msprime,554.922379,1.30793,1005068288
51,190,msprime,622.955308,0.959592,1025073152
52,190,msprime,592.248063,0.8398749999999999,1009983488
53,190,msprime,619.298645,1.111821,890167296
54,190,msprime,644.219346,0.907897,901787648
55,87,fastSimBac,2447.780117,0.090653,201842688
56,87,fastSimBac,2443.8786,0.08072499999999999,201908224
57,87,fastSimBac,2683.547515,0.11454699999999998,201908224
58,216,msprime,545.058757,0.903818,949907456
59,216,msprime,638.869738,1.015805,1104334848
60,216,msprime,595.457382,0.923747,888623104
61,216,msprime,621.100622,1.043812,913510400
62,216,msprime,639.917258,1.127854,933949440
