sample_size,tool,time
10,msprime,153.49631214141846
10,simbac,4642.595293045044
50,msprime,173.3520486354828
50,simbac,7838.8955755233765
100,msprime,154.1772162914276
100,simbac,9159.35657286644
150,msprime,193.24852061271667
150,simbac,8121.374881029129
200,msprime,189.93414211273193
200,simbac,9876.136055231094
250,msprime,215.17149925231934
250,simbac,9923.323390722275
300,msprime,192.84366989135742
300,simbac,8736.497842550278
350,msprime,196.70920825004578
350,simbac,9757.21355342865
400,msprime,192.17833518981934
400,simbac,11648.821171998978
450,msprime,182.2099642753601
450,simbac,10408.759665250778
500,msprime,197.58463263511658
500,simbac,9030.613287448883
