,L,tool,user_time,sys_time,memory
0,1000,discoal,0.031293999999999995,0.014978,207413248
1,11473,discoal,0.156559,0.013255,207396864
2,1000,msprime,0.303758,0.0039959999999999996,122966016
3,11473,msprime,0.30397399999999997,0.007999,122888192
4,21947,msprime,0.316387,0.011864,123138048
5,32421,msprime,0.337766,0.012062999999999999,123297792
6,42894,msprime,0.38007599999999997,0.004,123490304
7,21947,discoal,0.43743699999999996,0.215545,207343616
8,53368,msprime,0.443442,0.003994,123363328
9,63842,msprime,0.46955199999999997,0.003945,123510784
10,74315,msprime,0.540609,0.004004,123564032
11,84789,msprime,0.6090209999999999,0.0,123437056
12,32421,discoal,1.18368,0.399983,207478784
13,95263,msprime,0.6410969999999999,0.008013,123629568
14,105736,msprime,0.764338,0.008003,123523072
15,116210,msprime,0.917837,0.0,123633664
16,42894,discoal,2.970752,1.068835,207499264
17,126684,msprime,1.049879,0.004007,123846656
18,53368,discoal,4.62967,1.683965,264650752
19,137157,msprime,1.138337,0.007988,123940864
20,63842,discoal,8.532958,2.89378,387985408
21,147631,msprime,1.276564,0.004001,123867136
22,74315,discoal,13.838854,4.624276,486338560
23,158105,msprime,1.427799,0.007998,123998208
24,84789,discoal,19.587221,6.996478,624160768
25,168578,msprime,1.565969,0.019872,124182528
26,95263,discoal,32.32732,10.779813,916254720
27,179052,msprime,2.066081,0.011987999999999999,124170240
28,105736,discoal,43.551751,15.066358,939601920
